"date","close","volume"
2019-06-25,360.299988,5750400
2019-06-26,362.200012,3669700
2019-06-27,370.019989,4138600
2019-06-28,367.320007,4592700
2019-07-01,374.600006,4992600
2019-07-02,375.429993,3625000
2019-07-03,381.720001,3799000
2019-07-05,380.549988,3732200
2019-07-08,376.160004,3113400
2019-07-09,379.929993,6932800
2019-07-10,381,5878800
2019-07-11,379.5,4336300
2019-07-12,373.25,6636900
2019-07-15,366.600006,7944700
2019-07-16,365.98999,5863200
2019-07-17,362.440002,13639500
2019-07-18,325.209991,31305900
2019-07-19,315.100006,16302500
2019-07-22,310.619995,17718000
2019-07-23,307.299988,9171100
2019-07-24,317.940002,11961800
2019-07-25,326.459991,10798500
2019-07-26,335.779999,10847500
2019-07-29,332.700012,5782800
2019-07-30,325.929993,6029300
2019-07-31,322.98999,6259500
2019-08-01,319.5,6563200
2019-08-02,318.829987,6280300
2019-08-05,307.630005,8692500
2019-08-06,310.100006,6179100
2019-08-07,304.290009,9322400
2019-08-08,315.899994,5905900
2019-08-09,308.929993,5349100
2019-08-12,310.829987,6531700
2019-08-13,312.279999,5289400
2019-08-14,299.109985,7355800
2019-08-15,295.76001,9629200
2019-08-16,302.799988,6905800
2019-08-19,309.380005,4942200
2019-08-20,298.98999,7349900
2019-08-21,297.809998,5685400
2019-08-22,296.929993,4974200
2019-08-23,291.440002,6324900
2019-08-26,294.980011,4695700
2019-08-27,291.029999,6309400
2019-08-28,291.769989,3955700
2019-08-29,296.779999,4388500
2019-08-30,293.75,4446400
2019-09-03,289.290009,3682800
2019-09-04,291.519989,4652500
2019-09-05,293.25,8966800
2019-09-06,290.170013,5166600
2019-09-09,294.339996,8232700
2019-09-10,287.98999,12320200
2019-09-11,288.269989,7405900
2019-09-12,288.859985,5010900
2019-09-13,294.149994,6583100
2019-09-16,294.290009,5307400
2019-09-17,298.600006,4777100
2019-09-18,291.559998,7811100
2019-09-19,286.600006,8461300
2019-09-20,270.75,23832800
2019-09-23,265.920013,13478600
2019-09-24,254.589996,16338200
2019-09-25,264.75,11643800
2019-09-26,263.309998,7684000
2019-09-27,263.079987,7328300
2019-09-30,267.619995,6727200
